Date,Close
01/07/2000,1613.3
01/14/2000,1622.75
01/21/2000,1620.6
01/28/2000,1599.1
02/04/2000,1599.75
02/11/2000,1756
02/18/2000,1717.8
02/25/2000,1710.45
03/03/2000,1656
03/10/2000,1602.75
03/16/2000,1562.2
03/24/2000,1569.55
03/31/2000,1528.45
04/07/2000,1557.15
04/13/2000,1518.65
04/20/2000,1415.65
04/28/2000,1406.55
05/05/2000,1422.4
05/12/2000,1282.8
05/19/2000,1268
05/26/2000,1275.35
06/02/2000,1389.25
06/09/2000,1467.2
06/16/2000,1477.3
06/23/2000,1472.2
06/30/2000,1471.45
07/07/2000,1517.6
07/14/2000,1509.75
07/21/2000,1397.25
07/28/2000,1333.8
07/31/2000,1332.85
09/08/2000,1450.05
09/15/2000,1417.2
09/22/2000,1266.45
10/06/2000,1285
10/13/2000,1176.75
10/20/2000,1172
10/27/2000,1178.7
11/03/2000,1242.05
11/10/2000,1239.55
11/17/2000,1236
11/24/2000,1225.2
12/01/2000,1276.2
12/08/2000,1313.7
12/15/2000,1312.6
12/22/2000,1242
12/29/2000,1263.55
02/02/2001,1378.85
02/09/2001,1405.7
02/16/2001,1381.35
02/23/2001,1320.45
03/02/2001,1306.35
03/09/2001,1254.75
03/16/2001,1193.55
03/23/2001,1161.3
03/30/2001,1148.2
04/06/2001,1139.6
04/12/2001,1024.9
04/20/2001,1144
04/27/2001,1101.3
05/04/2001,1130.05
05/11/2001,1140.5
05/18/2001,1172.8
05/25/2001,1174.9
06/01/2001,1148.05
06/08/2001,1126.6
06/15/2001,1087.75
06/22/2001,1087.65
06/29/2001,1107.9
07/06/2001,1065.1
07/13/2001,1110.45
07/20/2001,1077.7
07/27/2001,1051.7
08/03/2001,1074.6
08/10/2001,1071.15
08/17/2001,1069.2
08/24/2001,1069.15
08/31/2001,1053.75
01/04/2002,1096.2
01/11/2002,1088.55
01/18/2002,1093.15
01/25/2002,1080.1
02/01/2002,1081.65
02/08/2002,1123.75
02/15/2002,1159.95
02/22/2002,1163.5
03/01/2002,1178
03/08/2002,1187.65
03/15/2002,1169.75
03/22/2002,1138.45
03/28/2002,1129.55
04/05/2002,1141.95
04/12/2002,1146.5
04/19/2002,1100.3
04/26/2002,1097.4
05/03/2002,1096.95
05/10/2002,1116.4
05/17/2002,1090.65
05/24/2002,1067
05/31/2002,1028.8
06/07/2002,1048.8
06/14/2002,1085.7
06/21/2002,1062.55
06/28/2002,1057.8
07/05/2002,1073.8
07/12/2002,1058.25
07/19/2002,1035.9
07/26/2002,973.5
08/02/2002,954.75
08/09/2002,961.95
08/16/2002,979.25
08/22/2002,985.7
08/26/2002,998.85
09/06/2002,995.21
09/13/2002,991.99
09/20/2002,969.59
09/27/2002,976.47
10/04/2002,948.19
10/11/2002,971.03
10/18/2002,971.66
10/25/2002,932.18
11/01/2002,951.47
11/08/2002,956.94
11/15/2002,990.33
11/22/2002,1020.16
11/29/2002,1050.14
12/06/2002,1069.81
12/13/2002,1086.21
12/20/2002,1079.29
12/27/2002,1098.38
01/03/2003,1089.59
01/10/2003,1080.25
01/17/2003,1086.49
01/24/2003,1056.03
01/31/2003,1041.87
02/07/2003,1057.52
02/14/2003,1035.99
02/21/2003,1066.14
02/28/2003,1063.38
03/07/2003,1017.08
03/13/2003,999.65
03/28/2003,1000.59
04/04/2003,1016.93
04/11/2003,949.81
04/17/2003,940.7
04/25/2003,924.31
05/02/2003,938.32
05/09/2003,937.85
05/16/2003,973.09
05/23/2003,967.91
05/30/2003,1006.82
06/06/2003,1046.39
06/13/2003,1056.21
06/20/2003,1100.24
06/27/2003,1125.53
07/04/2003,1138.45
07/11/2003,1161.63
07/18/2003,1139.98
07/25/2003,1162.75
08/01/2003,1195.76
08/08/2003,1222.65
08/14/2003,1247.77
08/22/2003,1311.17
08/29/2003,1356.55
09/05/2003,1398.41
09/12/2003,1372.11
09/19/2003,1322.13
09/26/2003,1386.93
10/03/2003,1449.3
10/10/2003,1523.08
10/17/2003,1569.47
10/31/2003,1555.91
11/07/2003,1592.03
11/21/2003,1540.69
11/28/2003,1615.26
12/05/2003,1645.79
12/12/2003,1698.88
12/19/2003,1778.55
12/26/2003,1837.06
01/02/2004,1946.05
01/09/2004,1971.92
01/16/2004,1900.65
01/23/2004,1847.56
01/30/2004,1809.77
02/06/2004,1833.63
02/13/2004,1913.62
02/20/2004,1852.63
02/27/2004,1800.3
03/05/2004,1867.68
03/12/2004,1812.18
03/19/2004,1725.11
03/26/2004,1747.52
04/02/2004,1841.12
04/08/2004,1853.57
04/23/2004,1892.44
04/30/2004,1796.09
05/07/2004,1804.44
05/14/2004,1582.39
05/21/2004,1560.21
05/28/2004,1508.76
06/04/2004,1521.1
06/11/2004,1508.43
06/18/2004,1491.2
06/25/2004,1488.51
07/02/2004,1537.5
07/09/2004,1553.2
07/16/2004,1558.8
07/23/2004,1601.58
07/30/2004,1632.32
08/06/2004,1633.38
08/13/2004,1598.2
08/20/2004,1590.35
08/27/2004,1609
09/03/2004,1634.1
09/10/2004,1668.75
09/17/2004,1733.65
09/24/2004,1722.5
10/01/2004,1775.15
10/15/2004,1795
10/21/2004,1779.75
10/29/2004,1786.9
11/05/2004,1852.3
11/12/2004,1872.95
11/19/2004,1872.35
11/25/2004,1901.05
12/03/2004,1996.2
12/10/2004,1969
12/17/2004,2012.1
12/24/2004,2062.7
12/31/2004,2080.5
01/07/2005,2015.5
01/14/2005,1931.1
01/20/2005,1925.3
01/28/2005,2008.3
02/04/2005,2077.95
02/11/2005,2082.05
02/18/2005,2055.55
02/25/2005,2060.9
03/04/2005,2148.15
03/11/2005,2154
03/18/2005,2109.15
03/24/2005,2015.4
04/01/2005,2067.65
04/08/2005,2031.2
04/15/2005,1956.3
04/22/2005,1967.35
04/29/2005,1902.5
05/06/2005,1977.5
05/13/2005,1988.3
05/20/2005,1992.4
05/27/2005,2076.4
06/10/2005,2090.6
06/17/2005,2123.4
06/24/2005,2194.35
07/01/2005,2211.9
07/08/2005,2196.2
07/15/2005,2212.55
07/22/2005,2265.6
07/29/2005,2312.3
08/05/2005,2361.2
08/12/2005,2361.55
08/19/2005,2383.45
08/26/2005,2357.05
09/02/2005,2415.8
09/09/2005,2455.45
09/16/2005,2552.35
09/23/2005,2477.75
09/30/2005,2601.4
10/07/2005,2574.05
10/14/2005,2484.4
10/21/2005,2443.75
10/28/2005,2316.05
11/02/2005,2419.05
11/11/2005,2548.65
11/18/2005,2620.05
12/02/2005,2697.95
12/09/2005,2756.45
12/16/2005,2810.15
12/23/2005,2804.85
12/30/2005,2836.55
01/06/2006,2914
01/13/2006,2850.55
01/20/2006,2900.95
01/27/2006,2982.75
02/03/2006,2940.6
02/10/2006,3027.55
02/17/2006,2981.5
02/24/2006,3050.05
03/03/2006,3147.35
03/10/2006,3183.9
03/17/2006,3234.05
03/24/2006,3279.8
03/31/2006,3402.55
04/07/2006,3454.8
04/13/2006,3345.5
04/21/2006,3573.05
05/05/2006,3663.95
05/12/2006,3650.05
05/19/2006,3246.9
05/26/2006,3209.6
06/02/2006,3091.35
06/09/2006,2866.3
06/16/2006,2890.35
06/23/2006,3042.7
06/30/2006,3128.2
07/07/2006,3075.85
07/14/2006,3123.35
07/21/2006,2945
07/28/2006,3130.8
08/04/2006,3176.75
08/11/2006,3274.35
08/18/2006,3356.75
08/25/2006,3385.95
09/01/2006,3435.45
09/08/2006,3471.45
09/15/2006,3478.6
09/22/2006,3544.05
09/29/2006,3588.4
10/06/2006,3569.7
10/13/2006,3676.05
10/27/2006,3739.35
11/03/2006,3805.35
11/10/2006,3834.75
11/17/2006,3852.8
11/24/2006,3950.85
12/01/2006,3997.6
12/08/2006,3962
12/15/2006,3888.65
12/22/2006,3871.15
12/29/2006,3966.4
01/05/2007,3985.8
01/12/2007,4056.35
01/19/2007,4090.5
01/25/2007,4143.55
02/02/2007,4183.5
02/09/2007,4187.4
02/15/2007,4146.2
02/23/2007,3938.95
03/02/2007,3782.15
03/09/2007,3718
03/16/2007,3608.55
03/23/2007,3861.05
03/30/2007,3821.55
04/05/2007,3752
04/13/2007,3917.35
04/20/2007,4083.55
04/27/2007,4083.5
05/04/2007,4117.35
05/11/2007,4076.65
05/18/2007,4214.5
05/25/2007,4248.15
06/01/2007,4297.05
06/08/2007,4145
06/15/2007,4171.45
06/22/2007,4252.05
06/29/2007,4318.3
07/06/2007,4384.85
07/13/2007,4504.55
07/20/2007,4566.05
07/27/2007,4445.2
08/03/2007,4401.55
08/10/2007,4333.35
08/17/2007,4108.05
08/24/2007,4190.15
08/31/2007,4464
09/07/2007,4509.5
09/14/2007,4518
09/21/2007,4837.55
09/28/2007,5021.35
10/05/2007,5185.85
10/12/2007,5428.25
10/19/2007,5215.3
10/26/2007,5702.3
11/02/2007,5932.4
11/09/2007,5663.25
11/16/2007,5906.85
11/23/2007,5608.6
11/30/2007,5762.75
12/07/2007,5974.3
12/14/2007,6047.7
12/20/2007,5766.5
12/28/2007,6079.7
01/04/2008,6274.3
01/11/2008,6200.1
01/18/2008,5705.3
01/25/2008,5383.35
02/01/2008,5317.25
02/08/2008,5120.35
02/15/2008,5302.9
02/22/2008,5110.75
02/29/2008,5223.5
03/07/2008,4771.6
03/14/2008,4745.8
03/19/2008,4573.95
03/27/2008,4830.25
04/04/2008,4647
04/11/2008,4777.8
04/16/2008,4887.3
04/25/2008,5111.7
05/02/2008,5228.2
05/09/2008,4982.6
05/15/2008,5115.25
05/23/2008,4946.55
05/29/2008,4835.3
06/06/2008,4627.8
06/12/2008,4539.35
06/19/2008,4504.25
06/26/2008,4315.85
07/03/2008,3925.75
07/10/2008,4162.2
07/17/2008,3947.2
07/24/2008,4433.55
08/01/2008,4413.55
08/07/2008,4523.85
08/13/2008,4529.05
08/21/2008,4283.85
08/29/2008,4360
09/05/2008,4352.3
09/11/2008,4290.3
09/18/2008,4038.15
09/25/2008,4110.55
10/03/2008,3818.3
10/10/2008,3279.95
10/17/2008,3074.35
10/23/2008,2943.15
10/31/2008,2885.6
11/07/2008,2973
11/13/2008,2848.45
11/20/2008,2553.15
11/27/2008,2752.25
12/05/2008,2714.4
12/12/2008,2921.35
12/19/2008,3077.5
12/26/2008,2857.25
01/02/2009,3046.75
01/09/2009,2873
01/16/2009,2828.45
01/23/2009,2678.55
01/30/2009,2874.8
02/06/2009,2843.1
02/13/2009,2948.35
02/20/2009,2736.45
02/27/2009,2763.65
03/06/2009,2620.15
03/13/2009,2719.25
03/20/2009,2807.05
03/27/2009,3108.65
04/02/2009,3211.05
04/09/2009,3342.05
04/17/2009,3384.4
04/24/2009,3480.75
04/29/2009,3473.95
05/08/2009,3620.7
05/15/2009,3671.65
05/22/2009,4238.5
05/29/2009,4448.95
06/05/2009,4586.9
06/12/2009,4583.4
06/19/2009,4313.6
06/26/2009,4375.5
07/03/2009,4424.25
07/10/2009,4003.9
07/17/2009,4374.95
07/24/2009,4568.55
07/31/2009,4636.45
08/07/2009,4481.4
08/14/2009,4580.05
08/21/2009,4528.8
08/28/2009,4732.35
